model name,f1_score,precision_score,recall_score,subject
NPClassifierFP + Ridge Classifier,1.0,1.0,1.0,cv_4_task_14
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_0
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_1
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_2
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_3
MHFP + Ridge Classifier,0.8571428571428571,0.8571428571428571,0.8571428571428571,cv_0_task_4
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_5
MHFP + Ridge Classifier,0.6666666666666666,0.625,0.7142857142857143,cv_0_task_6
MHFP + Ridge Classifier,0.5714285714285715,0.6666666666666666,0.5,cv_0_task_7
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_8
MHFP + Ridge Classifier,0.8571428571428571,1.0,0.75,cv_0_task_9
MHFP + Ridge Classifier,0.4,0.3333333333333333,0.5,cv_0_task_10
MHFP + Ridge Classifier,0.8000000000000002,0.7058823529411765,0.9230769230769231,cv_0_task_11
MHFP + Ridge Classifier,0.9555555555555556,0.9555555555555556,0.9555555555555556,cv_0_task_12
MHFP + Ridge Classifier,0.9863013698630138,1.0,0.972972972972973,cv_0_task_13
MHFP + Ridge Classifier,0.9444444444444444,1.0,0.8947368421052632,cv_0_task_14
MHFP + Ridge Classifier,0.9411764705882353,1.0,0.8888888888888888,cv_1_task_0
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_1
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_2
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_3
MHFP + Ridge Classifier,0.8,0.6666666666666666,1.0,cv_1_task_4
MHFP + Ridge Classifier,0.7142857142857143,0.8333333333333334,0.625,cv_1_task_5
MHFP + Ridge Classifier,0.3333333333333333,0.5,0.25,cv_1_task_6
MHFP + Ridge Classifier,0.5714285714285715,1.0,0.4,cv_1_task_7
MHFP + Ridge Classifier,0.888888888888889,1.0,0.8,cv_1_task_8
MHFP + Ridge Classifier,0.5555555555555556,0.625,0.5,cv_1_task_9
MHFP + Ridge Classifier,0.6666666666666666,1.0,0.5,cv_1_task_10
MHFP + Ridge Classifier,0.75,0.9,0.6428571428571429,cv_1_task_11
MHFP + Ridge Classifier,0.935064935064935,0.9473684210526315,0.9230769230769231,cv_1_task_12
MHFP + Ridge Classifier,0.9846153846153847,0.9696969696969697,1.0,cv_1_task_13
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_14
MHFP + Ridge Classifier,0.8571428571428571,1.0,0.75,cv_2_task_0
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_1
MHFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_2_task_2
MHFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_2_task_3
MHFP + Ridge Classifier,0.8,1.0,0.6666666666666666,cv_2_task_4
MHFP + Ridge Classifier,0.4,0.5,0.3333333333333333,cv_2_task_5
MHFP + Ridge Classifier,0.6956521739130435,0.7272727272727273,0.6666666666666666,cv_2_task_6
MHFP + Ridge Classifier,0.7058823529411764,1.0,0.5454545454545454,cv_2_task_7
MHFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_2_task_8
MHFP + Ridge Classifier,0.6956521739130435,0.6666666666666666,0.7272727272727273,cv_2_task_9
MHFP + Ridge Classifier,0.8000000000000002,0.8,0.8,cv_2_task_10
