"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"38199","Chlorophyll d","HMDB0037256","16070025","38199",NA,NA,"[H]C(=O)C1=C2\C=C3/N=C(/C=C4\N5[Mg]N2C(\C=C2/N=C([C@@H](CCC(=O)OC\C=C(/C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)[C@@H]2C)C2=C5C(C(=O)[C@@H]2C(=O)OC)=C4C)=C1C)C(CC)=C3C","1"
"38201","NA","NA","NA","NA","NA","NA","NA","0"
"38206","NA","NA","NA","NA","NA","NA","NA","0"
"38209","Chlorophyllide b","MA3TEM075","51090870","38209","C16541",NA,"CCOCCCC(=O)NC1=CC=CC=C1C2=NNC(=N2)C(C)C","1"
"45686","NA","NA","NA","NA","NA","NA","NA","0"
"46045","NA","NA","NA","NA","NA","NA","NA","0"
"48568","NA","NA","NA","NA","NA","NA","NA","0"
"48572","NA","NA","NA","NA","NA","NA","NA","0"
"48573","NA","NA","NA","NA","NA","NA","NA","0"
"48775","Cadmium","HMDB0003638","31193","48775","C01413",NA,"[Cd++]","1"
"48782","NA","NA","NA","NA","NA","NA","NA","0"
"48828","Cobalt","HMDB0000608","104729","48828","C00175",NA,"[Co++]","1"
"49415","NA","NA","NA","NA","NA","NA","NA","0"
"49701","NA","NA","NA","NA","NA","NA","NA","0"
"49807","NA","NA","NA","NA","NA","NA","NA","0"
"49948","Vanadium","HMDB0002503",NA,"49948","C06267",NA,"[V+3]","1"
"50528","NA","NA","NA","NA","NA","NA","NA","0"
"50997","NA","NA","NA","NA","NA","NA","NA","0"
"51216","NA","NA","NA","NA","NA","NA","NA","0"
"51701","NA","NA","NA","NA","NA","NA","NA","0"
"52020","NA","NA","NA","NA","NA","NA","NA","0"
"52178","NA","NA","NA","NA","NA","NA","NA","0"
"52180","NA","NA","NA","NA","NA","NA","NA","0"
"52181","NA","NA","NA","NA","NA","NA","NA","0"
"52182","NA","NA","NA","NA","NA","NA","NA","0"
"52183","NA","NA","NA","NA","NA","NA","NA","0"
"52184","NA","NA","NA","NA","NA","NA","NA","0"
"52187","NA","NA","NA","NA","NA","NA","NA","0"
"52188","NA","NA","NA","NA","NA","NA","NA","0"
"52189","NA","NA","NA","NA","NA","NA","NA","0"
"52190","NA","NA","NA","NA","NA","NA","NA","0"
"52192","NA","NA","NA","NA","NA","NA","NA","0"
"52194","NA","NA","NA","NA","NA","NA","NA","0"
"52196","NA","NA","NA","NA","NA","NA","NA","0"
"52197","NA","NA","NA","NA","NA","NA","NA","0"
"52198","NA","NA","NA","NA","NA","NA","NA","0"
"52200","NA","NA","NA","NA","NA","NA","NA","0"
"52203","NA","NA","NA","NA","NA","NA","NA","0"
"52204","NA","NA","NA","NA","NA","NA","NA","0"
"52205","NA","NA","NA","NA","NA","NA","NA","0"
"52207","NA","NA","NA","NA","NA","NA","NA","0"
"52212","NA","NA","NA","NA","NA","NA","NA","0"
"52213","NA","NA","NA","NA","NA","NA","NA","0"
"52244","NA","NA","NA","NA","NA","NA","NA","0"
"52277","NA","NA","NA","NA","NA","NA","NA","0"
"52278","NA","NA","NA","NA","NA","NA","NA","0"
"52279","NA","NA","NA","NA","NA","NA","NA","0"
"52469","NA","NA","NA","NA","NA","NA","NA","0"
"52488","Cobalt-precorrin 5A","METPA1265",NA,"52488","C16242",NA,NA,"1"
"52489","Cobalt-precorrin 5B","METPA1266",NA,"52489","C16243",NA,NA,"1"
"52490","Cobalt-precorrin 7","METPA1267",NA,"52490","C16244",NA,NA,"1"
"52491","NA","NA","NA","NA","NA","NA","NA","0"
"52499","NA","NA","NA","NA","NA","NA","NA","0"
"52532","NA","NA","NA","NA","NA","NA","NA","0"
"52533","NA","NA","NA","NA","NA","NA","NA","0"
"52534","NA","NA","NA","NA","NA","NA","NA","0"
"52535","NA","NA","NA","NA","NA","NA","NA","0"
"52536","NA","NA","NA","NA","NA","NA","NA","0"
"52537","NA","NA","NA","NA","NA","NA","NA","0"
"52538","NA","NA","NA","NA","NA","NA","NA","0"
"52539","NA","NA","NA","NA","NA","NA","NA","0"
